predicted_soc,actual_soc
71.3,79.5
70.4,80.0
71.2,78.35
63.4,73.0
65.6,73.4
52.5,67.0
15.5,20.0
17.8,21.0
39.5,30.4
37.9,31.6
42.3,35.7
45.6,39.6
47.1,40.9
29.4,34.5
20.6,29.5
35.7,42.0
50.15,60.4
24.6,32.5
45.6,57.8
65.8,72.5
46.9,36.9
68.4,55.9
51.3,58.5
