predicted_soc,actual_soc
76.3,79.5
76.4,80.0
73.2,78.35
68.4,73.0
69.6,73.4
52.5,57.0
15.5,20.0
17.8,21.0
33.5,30.4
33.9,31.6
42.3,35.7
45.6,42.6
47.1,44.9
29.4,34.5
20.6,24.5
35.7,38.0
57.15,60.4
29.6,32.5
55.6,57.8
68.8,72.5
46.9,36.9
61.4,55.9
54.3,58.5
